,Brand,Model,Year,Fuel,KM driven,Price
1436,Hyundai,Elite,2015,Petrol,"79,674 km","₹5,28,599"
1437,Hyundai,Verna,2019,Petrol,"22,504 km","₹8,93,699"
1438,Maruti,Wagon,2013,Petrol,"52,468 km","₹3,35,199"
1439,Renault,Kwid,2016,Petrol,"37,704 km","₹2,96,199"
1440,Maruti,Wagon,2015,Petrol,"7,586 km","₹4,30,099"
1441,Renault,Kwid,2017,Petrol,"19,095 km","₹3,40,799"
1442,Maruti,Baleno,2016,Petrol,"40,982 km","₹5,86,199"
1443,Maruti,Alto,2011,Petrol,"9,924 km","₹2,51,299"
1444,Mahindra,Bolero,2018,Diesel,"60,531 km","₹7,22,599"
1445,Hyundai,VENUE,2020,Petrol,"17,570 km","₹7,64,699"
1446,Maruti,Eeco,2017,Petrol,"10,537 km","₹4,16,599"
1447,Toyota,Innova,2016,Diesel,"2,77,105 km","₹14,59,899"
1448,Maruti,Swift,2016,Petrol,"51,823 km","₹4,78,099"
1449,Maruti,Alto,2013,Petrol,"40,522 km","₹2,89,199"
1450,Maruti,Swift,2017,Petrol,"33,094 km","₹5,55,799"
1451,Honda,Amaze,2015,Petrol,"60,022 km","₹5,31,299"
1452,Volkswagen,Vento,2015,Diesel,"68,215 km","₹6,29,599"
1453,Maruti,Alto,2016,Petrol,"41,246 km","₹2,62,599"
1454,Volkswagen,Ameo,2017,Petrol,"16,280 km","₹5,13,299"
1455,Maruti,Celerio,2016,Petrol,"55,104 km","₹4,14,599"
1456,Renault,Kwid,2016,Petrol,"22,396 km","₹3,46,999"
1457,Maruti,Baleno,2017,Petrol,"56,285 km","₹6,34,399"
1458,Renault,TRIBER,2019,Petrol,"6,632 km","₹6,40,099"
1459,Honda,City,2020,Petrol,"5,581 km","₹9,77,499"
1460,Maruti,Ciaz,2019,Petrol,"43,852 km","₹8,10,299"
1461,Hyundai,Eon,2016,Petrol,"25,415 km","₹2,93,199"
1462,Hyundai,i20,2014,Petrol,"33,892 km","₹4,36,499"
1463,Tata,Tiago,2019,Petrol,"18,171 km","₹5,12,599"
1464,Maruti,Swift,2018,Diesel,"66,411 km","₹6,22,999"
1465,Ford,FREESTYLE,2018,Petrol,"20,706 km","₹6,30,599"
1466,Maruti,Celerio,2017,Petrol,"58,236 km","₹4,74,499"
1467,Maruti,Swift,2019,Petrol,"13,471 km","₹6,47,499"
1468,Tata,Tiago,2018,Petrol,"38,855 km","₹5,23,899"
1469,Maruti,Eeco,2019,Petrol,"15,615 km","₹4,53,399"
1470,Hyundai,Elite,2015,Petrol,"47,147 km","₹5,93,099"
1471,Ford,Ecosport,2019,Petrol,"14,100 km","₹8,37,599"
1472,Hyundai,Verna,2018,Petrol,"25,533 km","₹10,24,099"
1473,Hyundai,Elite,2014,Petrol,"83,895 km","₹5,88,899"
1474,Maruti,Eeco,2020,Petrol,"7,284 km","₹4,17,299"
1475,Hyundai,Xcent,2018,Petrol,"36,891 km","₹5,29,899"
1476,Honda,City,2017,Petrol,"34,124 km","₹7,74,399"
1477,Hyundai,Elite,2016,Petrol,"81,803 km","₹5,81,299"
1478,Hyundai,Elite,2014,Petrol,"76,518 km","₹4,96,099"
1479,Volkswagen,Polo,2018,Petrol,"69,131 km","₹5,64,299"
1480,Ford,Ecosport,2020,Petrol,"1,858 km","₹10,67,699"
1481,Hyundai,VENUE,2020,Petrol,"15,076 km","₹9,94,799"
1482,Hyundai,i20,2016,Petrol,"93,588 km","₹5,88,899"
1483,Toyota,Corolla,2017,Petrol,"26,159 km","₹11,17,699"
1484,Hyundai,Eon,2017,Petrol,"23,727 km","₹3,34,899"
1485,Hyundai,Elite,2016,Petrol,"87,618 km","₹5,44,199"
1486,Ford,Ecosport,2015,Diesel,"67,001 km","₹5,56,699"
1487,Renault,Kwid,2016,Petrol,"23,804 km","₹3,67,499"
1488,Hyundai,Elite,2019,Petrol,"12,657 km","₹6,53,799"
1489,Maruti,Alto,2021,Petrol,"2,539 km","₹4,13,799"
1490,Ford,New,2017,Diesel,"31,011 km","₹5,06,499"
1491,Maruti,Baleno,2016,Petrol,"25,636 km","₹5,87,799"
1492,Ford,Figo,2018,Petrol,"11,818 km","₹6,10,999"
1493,Hyundai,Eon,2018,Petrol,"25,316 km","₹3,52,499"
1494,Hyundai,Elite,2019,Petrol,"20,235 km","₹6,74,999"
1495,Maruti,Baleno,2016,Petrol,"50,154 km","₹6,66,399"
1496,Maruti,Celerio,2019,Petrol,"13,497 km","₹5,13,099"
1497,Hyundai,Elite,2016,Petrol,"28,554 km","₹6,54,799"
1498,Hyundai,Grand,2017,Petrol,"24,297 km","₹5,29,799"
1499,Maruti,Celerio,2018,Petrol,"17,651 km","₹5,25,799"
1500,Hyundai,i20,2017,Diesel,"83,005 km","₹6,56,199"
1501,Ford,Ecosport,2018,Petrol,"33,105 km","₹6,82,199"
1502,Maruti,Baleno,2018,Petrol,"47,755 km","₹6,23,699"
1503,Renault,Kwid,2017,Petrol,"27,213 km","₹3,93,099"
1504,Hyundai,Grand,2018,Petrol,"32,373 km","₹4,87,099"
1505,Hyundai,Grand,2016,Petrol,"77,946 km","₹4,04,599"
1506,Hyundai,Elite,2016,Petrol,"54,529 km","₹6,16,899"
1507,Ford,Ecosport,2014,Diesel,"1,05,857 km","₹5,31,899"
1508,Hyundai,Grand,2016,Petrol,"68,788 km","₹4,31,599"
1509,Maruti,Baleno,2018,Petrol,"39,185 km","₹6,37,199"
1510,Honda,Jazz,2019,Petrol,"4,355 km","₹8,97,499"
1511,Honda,Brio,2016,Petrol,"56,493 km","₹3,97,299"
1512,Maruti,Baleno,2016,Petrol,"1,06,788 km","₹5,60,599"
1513,Toyota,Etios,2012,Diesel,"1,11,086 km","₹4,05,099"
1514,Maruti,Baleno,2017,Petrol,"42,893 km","₹6,42,999"
1515,Ford,Ecosport,2018,Petrol,"22,339 km","₹8,93,599"
1516,Tata,Tiago,2018,Petrol,"33,555 km","₹5,31,599"
1517,Maruti,Vitara,2018,Diesel,"41,558 km","₹9,29,399"
1518,Ford,Ecosport,2018,Petrol,"48,857 km","₹8,29,099"
1519,Maruti,Swift,2018,Petrol,"31,935 km","₹5,67,799"
1520,Hyundai,NEW,2019,Petrol,"29,702 km","₹4,82,999"
1521,Hyundai,Grand,2016,Petrol,"67,373 km","₹4,49,499"
1522,Ford,Ecosport,2019,Petrol,"17,369 km","₹9,83,299"
1523,Hyundai,Eon,2017,Petrol,"69,220 km","₹3,21,099"
